   UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1814     1   0 пт11  ??         0:00.23 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
    0  1847     1   0 пт11  ??         0:31.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0  1848     1   0 пт11  ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
    0  1849     1   0 пт11  ??         0:34.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0  1984     1   0 пт11  ??         3:44.76 /Library/SystemExtensions/14D5A3FD-F443-4D4D-9C7C-995B8003AA2C/com.surfshark.vpnclient.macos.direct.PacketTunnel-WireGuard.systemextension/Contents/MacOS/com.surfshark.vpnclient.macos.direct.PacketTunnel-WireGuard
  501  2265     1   0 пт12  ??         0:05.11 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   92  2283     1   0 пт12  ??         0:00.08 /usr/sbin/distnoted agent
  501  2284     1   0 пт12  ??         0:05.01 /usr/libexec/secd
    0  2301     1   0 пт12  ??         0:00.13 /System/Library/CoreServices/sharedfilelistd
    0  2311     1   0 пт12  ??         0:00.33 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  213  2313     1   0 пт12  ??         0:00.15 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  203  2316  2265   0 пт01  ??         0:00.00 (lwsslauncher)
    0  2346     1   0 пт03  ??         0:00.44 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  501  2347     1   0 пт03  ??         0:07.05 /usr/libexec/UserEventAgent (Aqua)
  501  2349     1   0 пт03  ??         0:00.46 /usr/sbin/universalaccessd launchd -s
  501  2350     1   0 пт03  ??         0:00.28 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501  2351     1   0 пт03  ??         0:00.18 /System/Library/CoreServices/talagent
  501  2352     1   0 пт03  ??         0:07.67 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501  2353     1   0 пт03  ??         0:45.50 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501  2354     1   0 пт03  ??         0:01.05 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
